word,uses in GPT_3.5.txt,uses in GPT_4.0.txt,total uses
common,0,1,1
charge,0,1,1
change,0,1,1
cause,0,1,1
business,0,1,1
bus,0,1,1
broadcast,0,1,1
belong,0,1,1
begin,0,1,1
base-10,0,1,1
award,0,1,1
assumed,0,1,1
article,0,1,1
apologize,0,1,1
also,0,1,1
air,0,1,1
adding,0,1,1
active,0,1,1
accurately,0,1,1
acclaim,0,1,1
accepted,0,1,1
30,0,1,1
